match_id,date,optimal_points,optimal_roster
1254072,2021-04-21,803.0,"F du Plessis, AD Russell, DL Chahar, PJ Cummins, RD Gaikwad, L Ngidi, KD Karthik, SM Curran, MM Ali, SP Narine, SN Thakur"
1539743,2026-06-22,802.0,"JN Frylinck, Nasrulla Rana, Babar Hayat, J Taanyanda, Zeeshan Ali, JJ Smit, Aizaz Khan, JT Brassell, Shahid Wasif, MG Erasmus, R Trumpelmann"
1535463,2026-05-27,802.0,"V Suryavanshi, Nithish Kumar Reddy, JC Archer, PP Hinge, Dhruv Jurel, RA Jadeja, Shivang Kumar, Ishan Kishan, N Burger, SS Mishra, Salil Arora"
1373582,2023-12-19,801.0,"PD Salt, AD Russell, JC Buttler, LS Livingstone, RJW Topley, N Pooran, SE Rutherford, Rehan Ahmed, SM Curran, AJ Hosein, WG Jacks"
1490877,2025-07-10,801.0,"M Podosky, A Donovan, S Maduranga, Bilal Ahmad Mir, FN Walsh, HER Tyler, KDA Lukies, J Tuffin, N Tanner, DVD Madampage, K Babu"
1359531,2023-05-12,801.0,"Rashid Khan, SA Yadav, Akash Madhwal, DA Miller, K Kartikeya, PP Chawla, Ishan Kishan, Vishnu Vinod, V Shankar, RG Sharma, JP Behrendorff"
287865,2007-09-16,800.0,"RP Singh, DL Vettori, Harbhajan Singh, JDP Oram, G Gambhir, CD McMillan, BB McCullum, V Sehwag, S Sreesanth, SE Bond, Yuvraj Singh"
1529284,2026-04-29,799.0,"RD Rickelton, TM Head, H Klaasen, HH Pandya, WG Jacks, Abhishek Sharma, AM Ghazanfar, PP Hinge, Nithish Kumar Reddy, S Arora, TA Boult"
1388216,2024-01-12,799.0,"TG Southee, AF Milne, DJ Mitchell, Abbas Afridi, Babar Azam, Shaheen Shah Afridi, KS Williamson, FH Allen, BV Sears, Haris Rauf, MS Chapman"
1442987,2024-07-27,797.0,"R Parag, M Pathirana, P Nissanka, SA Yadav, RR Pant, AR Patel, BKG Mendis, YBK Jaiswal, Shubman Gill, Arshdeep Singh, PWH de Silva"
1432211,2024-12-10,797.0,"GF Linde, DA Miller, Mohammad Rizwan, Shaheen Shah Afridi, Abrar Ahmed, KT Maphaka, Abbas Afridi, Saim Ayub, Sufiyan Muqeem, A Simelane, OEG Baartman"
335990,2008-04-24,797.0,"A Symonds, YK Pathan, GC Smith, Shahid Afridi, SK Warne, M Kaif, RP Singh, RG Sharma, SR Watson, D Kalyankrishna, WPUJC Vaas"
1422037,2024-02-27,796.0,"JN Loftie-Eaton, RK Paudel, R Trumpelmann, MB Kruger, DS Airee, JN Frylinck, BM Scholtz, Kushal Malla, Sompal Kami, Karan KC, A Bohara"
419141,2010-04-05,795.0,"SK Trivedi, SK Warne, RG Sharma, RP Singh, Harmeet Singh, SR Watson, AP Dole, AC Gilchrist, RJ Harris, FY Fazal, DR Smith"
1303308,2022-06-28,795.0,"DJ Hooda, MR Adair, SV Samson, A Balbirnie, PR Stirling, GH Dockrell, CA Young, J Little, Umran Malik, HT Tector, B Kumar"
1339606,2023-03-28,794.0,"AS Joseph, RR Hendricks, K Rabada, AK Markram, N Pooran, R Shepherd, RR Rossouw, A Nortje, BA King, L Ngidi, JO Holder"
1529278,2026-04-25,794.0,"KL Rahul, N Rana, P Simran Singh, SS Iyer, Priyansh Arya, Kuldeep Yadav, N Wadhera, Shashank Singh, AR Patel, Arshdeep Singh, V Nigam"
1317139,2022-06-26,794.0,"LA Dunbar, H Lakov, Saim Hussain, KC D'Souza, WAE Burton, A Dizija, Asad Ali Rehemtulla, V Zimonjic, ML Kostic, M Sarenac, IA De Silva"
1399143,2023-10-01,793.0,"Ishtiaq Ahmad, Sayed Monib, Meet Bhavsar, Faisal Khan, Khalander Mustafa, R Sandaruwan, Hisham Sheikh, MNM Aslam, Abdul Waheed, Ahmed Baladraf, Mohamed Shafeeq"
1496578,2026-07-11,793.0,"JC Buttler, HC Brook, Ishan Kishan, SM Curran, Tilak Varma, S Dube, AU Rashid, SV Samson, SS Iyer, M Prasidh Krishna, LA Dawson"
1503463,2025-10-13,793.0,"S Lamichhane, NK Yadav, DAM Louis, MM Baig, I Liyanage, RK Paudel, Zubair Ali, Muhammad Asim, DS Airee, Owais Ahmed, Gulsan Jha"
1385698,2024-09-13,792.0,"MW Short, LS Livingstone, J Fraser-McGurk, JG Bethell, JP Inglis, PD Salt, BA Carse, SA Abbott, TM Head, AM Hardie, AU Rashid"
829811,2015-05-16,791.0,"SR Watson, AD Russell, CH Morris, UT Yadav, YK Pathan, AM Rahane, DS Kulkarni, Azhar Mahmood, JP Faulkner, MK Pandey, KK Nair"
1506439,2025-10-19,791.0,"Bilal Zalmai, Karanbir Singh, Irfan Safi, J Khadka, Taranjeet Singh, A Randhawa, Avishka Iroshan, R Satheesan, Amar Naeem, Baseer Khan, T Sandaruwan"
1539480,2026-06-28,790.0,"S Grover, S Davizi, V Vijh, WJ Cope, E Packard, Saqlain Mukhtar, Kamal Soukhiya, S Wickramasekara, Milad Momend, J Madan, D Ramani"
1388217,2024-01-14,790.0,"AF Milne, FH Allen, Babar Azam, Haris Rauf, Fakhar Zaman, Aamer Jamal, Abbas Afridi, Shaheen Shah Afridi, TG Southee, BV Sears, IS Sodhi"
1529274,2026-04-21,789.0,"Abhishek Sharma, E Malinga, N Rana, Harsh Dubey, H Klaasen, Sameer Rizvi, KL Rahul, TM Head, T Stubbs, Ishan Kishan, AR Patel"
1533389,2026-05-03,789.0,"Bilal Zalmai, Shahid Afridi, H Singh, JD Bhatt, Umair Tariq, A Randhawa, Musaddiq Ahmed, B Kohler-Cadmore, Aqib Iqbal, Ahmed Wardak, Baseer Khan"
1538450,2026-06-05,788.0,"Shujaat Rasool, DPS Tyagi, M Bhatia, J Santhanam, K Venkatraman, Muhammad Adil, Abdulla Pervaiz, G Gune, Sameer Yousuf, Junaid Aziz, H Bharadwaj"
1534049,2026-05-19,788.0,"Karanbir Singh, J Butler, MWR Stokes, T Nightingale, E Robinson, LT Bichard, Waqar Zalmai, A Martel, Umair Tariq, Baseer Khan, M Dale-Bradley"
548317,2012-04-11,787.0,"KA Pollard, MM Patel, OA Shah, AT Rayudu, AM Rahane, GB Hogg, A Singh, SL Malinga, KK Cooper, RE Levi, AA Chavan"
1239540,2021-07-16,786.0,"LS Livingstone, Babar Azam, Mohammad Rizwan, Shadab Khan, Shaheen Shah Afridi, TK Curran, JJ Roy, Mohammad Hasnain, S Mahmood, DJ Willey, Mohammad Hafeez"
1370352,2023-05-26,786.0,"Shubman Gill, MM Sharma, SA Yadav, Tilak Varma, B Sai Sudharsan, Rashid Khan, Akash Madhwal, Mohammed Shami, C Green, HH Pandya, J Little"
1430820,2024-09-14,786.0,"FA Sargent, C Pavely, MK Villiers, BF Smith, AK Maguire, J Maguire, O Prendergast, IECM Wong, S Smale, TT Beaumont, A Canning"
1450817,2024-09-29,786.0,"Waseem Muhammad, Basil Hameed, MG Erasmus, A Sharafu, JP Kotze, Asif Khan, JJ Smit, Ali Naseer, Muhammad Jawadullah, JN Loftie-Eaton, Aayan Afzal Khan"
722337,2015-01-11,785.0,"F du Plessis, CH Gayle, DJ Bravo, D Wiese, MN Samuels, DA Miller, JO Holder, AD Russell, KJ Abbott, AM Phangiso, JL Ontong"
1304055,2022-04-02,784.0,"JC Buttler, JJ Bumrah, Tilak Varma, TS Mills, Ishan Kishan, SO Hetmyer, KA Pollard, Navdeep Saini, M Prasidh Krishna, YS Chahal, SV Samson"
1426297,2024-05-10,784.0,"Shubman Gill, B Sai Sudharsan, DJ Mitchell, MM Sharma, MM Ali, Rashid Khan, TU Deshpande, UT Yadav, MS Dhoni, RA Jadeja, S Dube"
1391337,2023-08-20,783.0,"E Mathew, Fanyan Mughal, R Satheesan, VP Thamotharam, M Koli, M Prasanna, R Athapaththu, Ijaz Hussain, Imran Ameer, Waqas Ahmad, S Nadigotla"
566937,2013-08-29,783.0,"AJ Finch, JE Root, SR Watson, JW Dernbach, RS Bopara, JR Hazlewood, MG Johnson, JC Buttler, SE Marsh, MJ Lumb, JP Faulkner"
1527679,2026-04-02,783.0,"B Muzarabani, Nithish Kumar Reddy, E Malinga, JD Unadkat, A Raghuvanshi, Abhishek Sharma, H Klaasen, TM Head, VG Arora, RK Singh, FH Allen"
1473458,2025-04-07,782.0,"HH Pandya, KH Pandya, RM Patidar, V Kohli, Tilak Varma, JM Sharma, D Padikkal, TA Boult, JR Hazlewood, Yash Dayal, SA Yadav"
