player_name,batting_proj,total_runs,batting_strike_rate,bowling_proj,wickets_taken,economy_rate,projected_fantasy_points,role,credits
LS Greenway,56.1,55.0,70.51282051282051,0.0,0.0,0.0,56.1,BAT,8.5
Lata Mondal,56.1,55.0,64.70588235294117,7.13184,0.0,7.285714285714286,63.231840000000005,BAT,8.5
M Ayodhya,4.08,4.0,50.0,140.85384000000002,6.0,5.560975609756097,144.93384000000003,BOWL,8.5
M Daniels,3.06,3.0,33.33333333333333,118.56684000000001,5.0,3.9204545454545454,121.62684000000002,BOWL,8.5
M Joshi,0.0,0.0,0.0,7.13184,0.0,4.0,7.13184,BOWL,8.5
M Kapp,534.48,524.0,111.01694915254237,854.0378400000001,38.0,4.642857142857143,1388.51784,AR,8.5
M Klaas,4.08,4.0,50.0,96.27984,4.0,5.736263736263736,100.35983999999999,BOWL,8.5
M Madara,5.1,5.0,33.33333333333333,22.287000000000003,1.0,10.071428571428571,27.387,BOWL,8.5
M McColl,24.48,24.0,88.88888888888889,0.0,0.0,0.0,24.48,BAT,8.5
M Raj,400.86,393.0,89.31818181818181,0.0,0.0,0.0,400.86,BAT,8.5
M Shehani,10.2,10.0,66.66666666666666,7.13184,0.0,6.4,17.33184,BAT,8.5
M Strano,2.04,2.0,66.66666666666666,51.70584,2.0,6.333333333333333,53.74584,BOWL,8.5
M du Preez,215.22,211.0,86.83127572016461,0.0,0.0,0.0,215.22,BAT,8.5
MAA Sanjeewani,138.72,136.0,73.91304347826086,0.0,0.0,0.0,138.72,BAT,8.5
MADD Surangika,131.58,129.0,90.84507042253522,0.0,0.0,0.0,131.58,BAT,8.5
MDN Hansika,1.02,1.0,33.33333333333333,0.0,0.0,0.0,1.02,BAT,8.5
ME Bouchier,109.14,107.0,113.82978723404256,0.0,0.0,0.0,109.14,BAT,8.5
MEMO Scott-Hayward,45.9,45.0,109.75609756097562,0.0,0.0,0.0,45.9,BAT,8.5
MIW van den Raad,1.02,1.0,50.0,22.287000000000003,1.0,7.8,23.307000000000002,BOWL,8.5
MJG Nielsen,0.0,0.0,0.0,230.00184,10.0,3.9319148936170216,230.00184,BOWL,8.5
MK Villiers,0.0,0.0,0.0,73.99284,3.0,6.48,73.99284,BOWL,8.5
ML Green,283.56,278.0,124.10714285714286,0.0,0.0,0.0,283.56,BAT,8.5
ML Schutt,7.140000000000001,7.0,77.77777777777779,1210.62984,54.0,5.117088607594937,1217.7698400000002,BOWL,8.5
MM Lanning,736.44,722.0,105.24781341107872,0.0,0.0,0.0,736.44,BAT,8.5
MM Letsoalo,0.0,0.0,0.0,66.861,3.0,7.783783783783783,66.861,BOWL,8.5
MM Penfold,0.0,0.0,0.0,7.13184,0.0,3.8571428571428568,7.13184,BOWL,8.5
MR Aguilleira,59.160000000000004,58.0,100.0,0.0,0.0,0.0,59.160000000000004,BAT,8.5
MV Waldron,70.38,69.0,81.17647058823529,0.0,0.0,0.0,70.38,BAT,8.5
Marina Iqbal,4.08,4.0,66.66666666666666,0.0,0.0,0.0,4.08,BAT,8.5
Marufa Akter,13.26,3.0,150.0,252.28884000000002,11.0,5.935251798561151,265.54884000000004,BOWL,8.5
Muneeba Ali,364.14,357.0,93.45549738219894,0.0,0.0,0.0,364.14,BAT,8.5
Murshida Khatun,103.02,101.0,75.3731343283582,0.0,0.0,0.0,103.02,BAT,8.5
N Boochatham,55.08,54.0,67.5,29.41884,1.0,6.406779661016949,84.49884,BAT,8.5
N Chaiwai,32.64,32.0,62.74509803921568,0.0,0.0,0.0,32.64,BAT,8.5
N Chantam,105.06,103.0,81.10236220472441,0.0,0.0,0.0,105.06,BAT,8.5
N Koncharoenkai,66.3,65.0,76.47058823529412,0.0,0.0,0.0,66.3,BAT,8.5
N Mlaba,9.18,9.0,90.0,631.1678400000001,28.0,5.491329479768786,640.34784,BOWL,8.5
N Shree Charani,0.0,0.0,0.0,319.14984,14.0,5.6557377049180335,319.14984,BOWL,8.5
N de Klerk,169.32,166.0,103.75,386.01084000000003,17.0,7.243243243243243,555.3308400000001,AR,8.5
NH Patel,0.0,0.0,0.0,96.27984,4.0,7.422680412371133,96.27984,BOWL,8.5
